Label,Text
0,If it goes against the official story then that is Holocaust Denial and she must serve time in modern gulag 
0,I m going to start looking into it  I m tired of being treated like I m less important than this mud on welfare after ive been paying taxes for over 35 years 
0,yes RoadHog i did check into j and g they sound good  im hoping i will find one on the shelf soon tho  the mosin
0,They were talking about this on another thread and the first choices were for Coke and Taco Bell 
1,Most if not all of the whites at my school are complete race traitors
1,For example  if he uses correct English then you say   Hey  you are starting to sound like a white man 
0,This is a video with pictures of old postcards of Gliwice  Gleiwitz  Upper Silesia  at the beginning of the video  and present day pictures of Gliwice  Gleiwitz  at the end of the video 
1,When they sent n iggers to space the space ships started blowing up 
0,Did you see anything other than white faces in that non racially edited video 
0,The fact Whites stood by while he was being attacked by a group of Mestizos is far more disturbing than the attack itself 
1,Turns out its a female negroid assaulting the White woman 
0,my first kiss was a girl that lived down the street from me when i was 10I went to school with her younger sisterHer name was kelseyShe had blonde hair and blue eyesShe was 13We were at the movies and then I figured I d take a chance and try to kiss her and it worked 
0,Oh that reminds me of my high school days in IT lessons making 30 Apple Mac s on Clarisworks simultaneously say  Mr Carey has death breath 
0,It is good to hear your story 
0,Now teachers demand to work just 35 hours a week  and they even want to be allowed to do five of those at home  Mail Online
0,You see through the BS and are using FB for the cause 
0,The only Mexican in town has since moved out and kids can now leave their bicycles in the yard without fear 
0,I figured it would only get worst 
0,Toronto Police Investigating AltRight Posters as a Hate Crime 
0,Guess we Yanks gave them a heluva attitude adjustment at Hiroshima 
0,I hear the jews are looking to open a Holohoax center in Antarctica next year 
0,It is also a breeding ground for Dieversity  and Libturd Indoctronation 
0,It is totally a greek name 
0,In his later life  Shockley was a professor at Stanford and became a staunch advocate of eugenics 
0,They are nothing less than indoctrination centers designed to separate children from their parents and fill their minds with liberal propaganda 
0,THIS is precisely why I dont watch his videos 
0,they have an asian group a black group a mexican group but sadly my request for a white group was denied  is this libral hipocracy or discrimination against a skinhead 
0,When i finish i plan on going to college not sure what career i want at the moment 
0,I just tried to get on the site and itstated Account has been suspended 
0,Ive recently gotten a recommendation for Peaceful Warrior 
0,They fought for their country and what they believed in 
0,I believe if your looking you ll never find true love 
0,There are some slight differences between the two  is one of them geared toward whites in general  and the other toward DutchGermans 
0,Dont get yourself into trouble for something that isntworth it 
0,Milwaukee Wisconsin The Third Weekend In July Every Year 
0,Thanks for the kind words in a pm 
0,Are those Greek and Albanians considered white 
0,WE had lots of good times and parties too  but we also had a gourmet chef  tutors  massage thereapist  and a library of extra liturature from teaches such as copies of the upcoming tests  etc 
0,I work downtown Montreal but live off the island out in the country 
0,I wonder if the mex will steal them this year 
0,We went  feet to floor   I wound up on top  secured his right arm and got him in a  rolling armbar  
0,attack hi im new at this so if u want to talk to me let me know i would like to get to know u if u dont mind my name is bill
0,its all BS anyway 
0,This was just on the news  Apparently the negro left a cigarette butt behind at the other house he attempted to break in to complete with his DNA 
0,YouTube  Broadcast Yourself 
1,The child s mother has been arrested no need to post that ugly face  httpjacksonvillecomnewscrime20101013storylawdisordermissingtoddlerfoundgymbag
0,The Rbenach and Rodendorf families 
1,Its a failure of the irish to dont have a strong right radical party of their own 
0,This is a great resource  but they have practically no proWhite books in their library 
0,If someone on that bus was carrying a piece  they could ve taken care of that savage before he managed to stab the victim 5060 times 
0,I would very much like to comment on this topic but I seriously doubt that I can manage to do so in fewer than five pages 
0,the school board is completely blinded to the events that go on with their schools  i contacted them about the boy with the knife n they were never even informed of the situation nor were the authorities called  eventhough that is what the school policy requires in such situations 
0,My website Racial Observer offers many free ebooks and you can check out our hardcover and paperback catalog at Racial Observer Books
0,Around 5  of Estonians singing on one stage 
0,All that the DNA test will prove is that you are still a mongrel 
0,Alley mills spring is an artists dream area 
0,I grew up outside of crAKRON  a small version of Cleveland  
0,Norske Legion  Norway   Oi 
0,The first and most absolute priority is maintaining core body temperature  a 100 bucks will do that 
0,Greeneville TN Homes and Land
0,I always thought it was be fun to put on a minstrel show  a little entertainment showing things how theyreally are without blackjewfag involvment   if it ever gets put together i ll be sure to tape and and pass it around for all to enjoy
0,I dont watch TV other than to watch sport  Rugby  Soccer and CVricket  and occasionally a movie  i d probally watct more than 5 hours a week though 
0,My son is 3 years old and I have started homeschooling for himFew weeks back i was wondering whether i should let him go to a Public school or do home schooling but decided to go for home schooling and now he is enjoying 
0,It IS our business when you are making territorial claims on Bulgarian land and claiming a part of Bulgarian history as yours 
1,Your allwhite nation is a fraud 
0,Just saw an video that i would share with you guys YouTube   WHITE GENOCIDE IN AFRICA  THE BEGINNING OF THE END 
0,Drop me a line 
0,If its a non white they cover it up 
0,Predictions have been forecast at around 20602090 
0,You ll never build it 
0,From The Telegraf Judge and clerk shot dead in Belgian court  Telegraph New information says that the assailant is NOT an albanian  but an homeles iranian  source
0,We would go to the range  rifle and pistol  once each week 
1,I got sloppy seconds after some Muslims used this girl 
0,The reason for this persecution 
0,This was before I ever became WN 
0,Fox news reported last night that this beast was caught eating parts of this young man when the police got onto the bus to apprehend him 
0,Who said those were Jews from Israel on that chart 
0,Somene was telling me somewhere that he has put in a claim about having been abused in an orphanage by one of the religious orders 
0,I got the book in a box with others for  100 I never knew anything about free masons until I read this book 
0,RiceArrives in Lithuania for NATO Talks Go Home to Africa  Condoleeza Rice 
1,my kids want to hang around and bring a couple of nigs into the house if i dosome members of my family will blank meif i dont allow it the kids themselves will blank me for a while  so either way i cant win
1,So racial preservation is the basis for white nationalism and white nationalism is the method with which we want to preserve our race 
0,My translation offer stands 
0,Relatively new band from Finland and all lyrics in suomi 
0,Over the years  he succeeded in Verl  where he has lived since his marriage under the name Marco B  maintain a bourgeois facade 
0,Shannon county is famous for its wild horses and the whole area is timbered and rugged 
0,And the guard said with an equally straight face   Oh  eh  that s up on the seventh floor   dot  dot dot  
0,Would the gentleman kindly tell us  can wogs be Irish 
0,I know I keep hoping I wake up one day and this multiracial hell Canada was all just a terrible nightmare  but it never happens 
0,I m 16yrs old and the only person in my family who seems to believe in preservation of our race 
0,What do you all think 
0,unfortunately chicago doesnt prove this  we need to send them all to the poles we could make better use of africa
0,Ya I saw that and laughed myself sick over it 
1,Irish There is nothing wrong with being polite 
0,Trudeau Senior got us into that mess 
0,Getting someone else to do our dirty work got us into the mess we are in today 
0,Before I became a skingirl and before I let my hair grow once again 
1,Im looking forward to seeing the western media s apartheid twist on this story whilst they ignore the racist pension and land reform and genocide 
0,I am not very well read when it comes to Fascism and was led to believe that theydhave eschewed any nonEuropean culture or influence 
1,The have no concept of honour or of having respect for the feelings of others 
